locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
6050,Southport,South East Queensland,AU,2021-07-09T05:00:00+00:00,2021-07-09T15:00:00+10:00,o3,0.015,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T05:00:00+00:00,2021-07-09T15:00:00+10:00,pm25,3.6,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T05:00:00+00:00,2021-07-09T15:00:00+10:00,pm10,5.9,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T04:00:00+00:00,2021-07-09T14:00:00+10:00,pm10,6.3,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T04:00:00+00:00,2021-07-09T14:00:00+10:00,pm25,3.7,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T04:00:00+00:00,2021-07-09T14:00:00+10:00,o3,0.021,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T03:00:00+00:00,2021-07-09T13:00:00+10:00,pm25,4.5,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T03:00:00+00:00,2021-07-09T13:00:00+10:00,pm10,11.5,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T03:00:00+00:00,2021-07-09T13:00:00+10:00,o3,0.022,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T00:00:00+00:00,2021-07-09T10:00:00+10:00,pm25,5.6,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T00:00:00+00:00,2021-07-09T10:00:00+10:00,pm10,22.4,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-09T00:00:00+00:00,2021-07-09T10:00:00+10:00,o3,0.007,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T23:00:00+00:00,2021-07-09T09:00:00+10:00,o3,0.003,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T23:00:00+00:00,2021-07-09T09:00:00+10:00,pm25,5.7,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T23:00:00+00:00,2021-07-09T09:00:00+10:00,pm10,22.8,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T22:00:00+00:00,2021-07-09T08:00:00+10:00,o3,0,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T22:00:00+00:00,2021-07-09T08:00:00+10:00,pm10,23.1,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T22:00:00+00:00,2021-07-09T08:00:00+10:00,pm25,5.8,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T21:00:00+00:00,2021-07-09T07:00:00+10:00,pm25,5.8,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T21:00:00+00:00,2021-07-09T07:00:00+10:00,pm10,23.4,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T21:00:00+00:00,2021-07-09T07:00:00+10:00,o3,0.001,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T20:00:00+00:00,2021-07-09T06:00:00+10:00,pm25,5.9,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T20:00:00+00:00,2021-07-09T06:00:00+10:00,o3,0.01,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T20:00:00+00:00,2021-07-09T06:00:00+10:00,pm10,23.5,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T18:00:00+00:00,2021-07-09T04:00:00+10:00,o3,0.016,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T18:00:00+00:00,2021-07-09T04:00:00+10:00,pm25,5.9,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T18:00:00+00:00,2021-07-09T04:00:00+10:00,pm10,23.7,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T17:00:00+00:00,2021-07-09T03:00:00+10:00,o3,0.019,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T17:00:00+00:00,2021-07-09T03:00:00+10:00,pm10,23.6,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T17:00:00+00:00,2021-07-09T03:00:00+10:00,pm25,5.8,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T16:00:00+00:00,2021-07-09T02:00:00+10:00,o3,0.022,ppm,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T16:00:00+00:00,2021-07-09T02:00:00+10:00,pm10,23.5,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T16:00:00+00:00,2021-07-09T02:00:00+10:00,pm25,5.8,µg/m³,-27.9612,153.402
6050,Southport,South East Queensland,AU,2021-07-08T15:00:00+00:00,2021-07-09T01:00:00+10:00,o3,0.013,ppm,-27.9612,153.402
